Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (Â°C),Maximum Temperature (Â°C),Minimum Temperature (Â°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Admiralty,2018.0,1.0,1.0,,,,,,,,,
Admiralty,2018.0,1.0,2.0,,,,,,,,,
Admiralty,2018.0,1.0,3.0,,,,,,,,,
Admiralty,2018.0,1.0,4.0,,,,,,,,,
Admiralty,2018.0,1.0,5.0,5.0,2.0,3.6,5.0,25.9,28.2,24.8,5.8,18.0
Admiralty,2018.0,1.0,6.0,0.0,0.0,0.0,0.0,27.1,31.2,24.6,6.8,23.0
Admiralty,2018.0,1.0,7.0,2.4,2.0,2.0,2.4,26.6,32.1,24.2,9.0,28.8
Admiralty,2018.0,1.0,8.0,48.0,17.0,26.0,35.2,26.3,31.6,22.6,6.8,22.3
Admiralty,2018.0,1.0,9.0,7.2,5.2,7.0,7.0,26.9,32.1,25.1,8.6,32.4
Admiralty,2018.0,1.0,10.0,22.2,3.2,5.6,9.0,24.4,26.3,23.1,8.6,29.2
Admiralty,2018.0,1.0,11.0,14.4,1.0,1.6,2.8,23.4,25.4,21.7,10.8,40.0
Admiralty,2018.0,1.0,12.0,8.6,0.8,1.4,2.0,22.5,23.4,21.7,11.5,33.5
Admiralty,2018.0,1.0,13.0,15.6,3.4,4.2,5.8,22.7,23.4,22.0,9.4,24.8
Admiralty,2018.0,1.0,14.0,5.8,1.0,1.6,2.8,23.1,24.8,21.2,11.5,38.2
Admiralty,2018.0,1.0,15.0,0.6,0.4,0.4,0.6,24.5,27.3,22.6,10.8,33.8
Admiralty,2018.0,1.0,16.0,0.0,0.0,0.0,0.0,25.9,29.1,23.3,11.5,28.4
Admiralty,2018.0,1.0,17.0,0.0,0.0,0.0,0.0,27.0,31.0,24.6,13.3,35.6
Admiralty,2018.0,1.0,18.0,0.0,0.0,0.0,0.0,27.0,31.1,24.5,13.7,35.3
Admiralty,2018.0,1.0,19.0,5.6,3.2,3.2,5.2,26.7,33.4,24.1,9.0,37.4
Admiralty,2018.0,1.0,20.0,6.8,5.6,5.6,5.6,26.3,33.2,24.7,6.8,32.4
Admiralty,2018.0,1.0,21.0,1.6,1.6,1.6,1.6,27.6,33.6,24.2,9.4,28.4
Admiralty,2018.0,1.0,22.0,0.0,0.0,0.0,0.0,27.7,31.9,25.1,8.3,35.6
Admiralty,2018.0,1.0,23.0,20.0,11.4,13.0,20.0,26.7,30.0,24.1,8.3,36.0
Admiralty,2018.0,1.0,24.0,5.4,3.2,4.0,4.8,26.6,31.6,23.5,7.6,34.6
Admiralty,2018.0,1.0,25.0,12.0,9.0,9.8,12.0,26.7,31.6,24.1,7.9,29.5
Admiralty,2018.0,1.0,26.0,0.4,0.4,0.4,0.4,26.4,31.3,24.8,8.3,34.6
Admiralty,2018.0,1.0,27.0,0.0,0.0,0.0,0.0,27.5,33.1,24.8,9.0,28.1
Admiralty,2018.0,1.0,28.0,28.0,22.8,27.4,27.8,26.6,33.0,23.0,9.0,44.6
Admiralty,2018.0,1.0,29.0,0.0,0.0,0.0,0.0,27.5,32.3,24.1,9.7,34.6
Admiralty,2018.0,1.0,30.0,8.4,7.6,8.0,8.4,27.7,34.7,25.4,9.4,44.3
Admiralty,2018.0,1.0,31.0,5.6,2.6,2.8,5.4,27.7,33.1,23.9,12.2,32.4
Admiralty,2018.0,2.0,1.0,3.8,3.8,3.8,3.8,28.0,31.8,25.8,15.8,42.5
Admiralty,2018.0,2.0,2.0,5.8,1.2,2.0,3.2,25.2,26.5,23.9,12.6,36.4
Admiralty,2018.0,2.0,3.0,0.2,0.2,0.2,0.2,26.8,30.5,24.3,15.8,49.7
Admiralty,2018.0,2.0,4.0,1.4,1.0,1.0,1.0,26.0,29.3,24.5,15.8,55.4
Admiralty,2018.0,2.0,5.0,0.0,0.0,0.0,0.0,26.4,30.0,24.5,17.6,54.0
Admiralty,2018.0,2.0,6.0,0.0,0.0,0.0,0.0,26.1,29.8,23.9,16.2,41.8
Admiralty,2018.0,2.0,7.0,0.0,0.0,0.0,0.0,25.4,27.9,23.9,14.0,42.5
Admiralty,2018.0,2.0,8.0,0.0,0.0,0.0,0.0,25.9,29.3,23.5,14.8,40.0
Admiralty,2018.0,2.0,9.0,0.0,0.0,0.0,0.0,26.1,30.9,23.3,16.9,47.9
Admiralty,2018.0,2.0,10.0,0.0,0.0,0.0,0.0,26.0,30.7,23.1,14.4,36.7
Admiralty,2018.0,2.0,11.0,0.0,0.0,0.0,0.0,26.5,31.2,23.6,14.8,39.2
Admiralty,2018.0,2.0,12.0,0.0,0.0,0.0,0.0,26.8,31.2,23.9,17.6,45.7
Admiralty,2018.0,2.0,13.0,0.0,0.0,0.0,0.0,26.8,31.7,24.2,15.1,42.1
Admiralty,2018.0,2.0,14.0,0.0,0.0,0.0,0.0,26.5,30.6,24.1,15.1,41.4
Admiralty,2018.0,2.0,15.0,1.8,1.4,1.4,1.8,27.2,32.9,24.3,10.1,33.1
Admiralty,2018.0,2.0,16.0,0.0,0.0,0.0,0.0,27.5,33.0,24.4,9.7,28.8
Admiralty,2018.0,2.0,17.0,1.2,0.8,1.2,1.2,27.2,33.4,24.2,10.8,33.8
Admiralty,2018.0,2.0,18.0,0.0,0.0,0.0,0.0,27.3,33.6,24.8,11.5,33.8
Admiralty,2018.0,2.0,19.0,0.0,0.0,0.0,0.0,27.1,32.0,23.9,15.5,41.4
Admiralty,2018.0,2.0,20.0,0.0,0.0,0.0,0.0,27.3,31.9,24.5,14.0,37.8
Admiralty,2018.0,2.0,21.0,0.0,0.0,0.0,0.0,27.4,31.3,24.9,14.8,40.3
Admiralty,2018.0,2.0,22.0,0.0,0.0,0.0,0.0,27.7,33.8,24.5,13.0,42.5
Admiralty,2018.0,2.0,23.0,12.4,11.4,11.6,12.0,26.4,31.5,23.3,10.1,40.7
Admiralty,2018.0,2.0,24.0,3.4,1.4,2.4,3.2,25.1,26.9,23.8,10.4,33.5
Admiralty,2018.0,2.0,25.0,0.0,0.0,0.0,0.0,26.8,30.4,24.6,12.6,33.1
Admiralty,2018.0,2.0,26.0,0.0,0.0,0.0,0.0,27.1,30.4,25.1,15.5,42.5
Admiralty,2018.0,2.0,27.0,0.0,0.0,0.0,0.0,27.1,31.3,24.7,13.3,41.4
Admiralty,2018.0,2.0,28.0,49.6,28.6,33.6,47.8,27.4,33.4,23.5,10.8,43.2
Admiralty,2018.0,3.0,1.0,0.0,0.0,0.0,0.0,27.6,32.0,25.1,11.5,35.6
Admiralty,2018.0,3.0,2.0,19.2,14.4,18.0,19.2,27.1,32.7,24.6,8.3,29.2
Admiralty,2018.0,3.0,3.0,3.0,2.0,2.0,3.0,27.2,32.1,25.6,9.7,33.5
Admiralty,2018.0,3.0,4.0,4.8,4.0,4.8,4.8,27.4,34.8,24.6,6.1,25.6
Admiralty,2018.0,3.0,5.0,0.0,0.0,0.0,0.0,28.1,33.1,25.5,13.7,39.2
Admiralty,2018.0,3.0,6.0,0.0,0.0,0.0,0.0,28.5,35.6,25.1,7.2,36.7
Admiralty,2018.0,3.0,7.0,8.6,5.2,6.6,7.2,26.1,28.5,24.1,8.6,39.6
Admiralty,2018.0,3.0,8.0,0.0,0.0,0.0,0.0,26.6,29.3,24.8,10.4,35.6
Admiralty,2018.0,3.0,9.0,0.0,0.0,0.0,0.0,27.9,31.7,25.1,16.2,47.5
Admiralty,2018.0,3.0,10.0,9.0,4.8,5.0,5.6,26.8,29.7,24.6,16.9,58.3
Admiralty,2018.0,3.0,11.0,0.0,0.0,0.0,0.0,27.2,30.7,24.8,15.5,44.3
Admiralty,2018.0,3.0,12.0,0.0,0.0,0.0,0.0,27.5,30.7,25.2,13.3,40.3
Admiralty,2018.0,3.0,13.0,0.0,0.0,0.0,0.0,27.7,31.5,25.5,12.2,41.0
Admiralty,2018.0,3.0,14.0,0.0,0.0,0.0,0.0,28.1,33.2,25.4,11.2,36.0
Admiralty,2018.0,3.0,15.0,0.0,0.0,0.0,0.0,28.5,34.8,25.2,9.7,27.4
Admiralty,2018.0,3.0,16.0,0.0,0.0,0.0,0.0,28.2,33.0,26.4,13.0,33.8
Admiralty,2018.0,3.0,17.0,0.0,0.0,0.0,0.0,28.4,33.6,25.9,12.2,35.3
Admiralty,2018.0,3.0,18.0,0.0,0.0,0.0,0.0,28.1,32.1,25.7,14.0,41.4
Admiralty,2018.0,3.0,19.0,0.6,0.6,0.6,0.6,28.4,33.6,25.7,11.5,32.8
Admiralty,2018.0,3.0,20.0,0.0,0.0,0.0,0.0,28.1,33.5,26.0,10.4,32.8
Admiralty,2018.0,3.0,21.0,0.0,0.0,0.0,0.0,27.9,32.6,25.6,8.3,37.4
Admiralty,2018.0,3.0,22.0,0.0,0.0,0.0,0.0,28.5,33.1,26.2,16.2,41.8
Admiralty,2018.0,3.0,23.0,0.0,0.0,0.0,0.0,28.4,32.7,25.9,15.1,38.2
Admiralty,2018.0,3.0,24.0,0.0,0.0,0.0,0.0,27.9,32.2,24.9,12.6,41.0
Admiralty,2018.0,3.0,25.0,2.4,1.0,1.2,1.2,26.6,30.3,24.6,8.3,29.9
Admiralty,2018.0,3.0,26.0,0.0,0.0,0.0,0.0,27.5,32.3,25.5,10.4,42.1
Admiralty,2018.0,3.0,27.0,3.0,1.2,1.4,1.8,25.1,27.3,23.5,10.8,36.7
Admiralty,2018.0,3.0,28.0,11.6,9.8,10.4,11.0,26.4,33.3,23.0,7.2,40.0
Admiralty,2018.0,3.0,29.0,2.6,1.8,2.4,2.6,26.5,30.8,24.3,6.8,27.7
Admiralty,2018.0,3.0,30.0,9.0,4.2,7.0,7.4,26.1,32.1,22.4,6.1,32.8
Admiralty,2018.0,3.0,31.0,0.0,0.0,0.0,0.0,27.5,33.6,24.7,8.3,36.0
Admiralty,2018.0,4.0,1.0,32.2,18.0,29.8,32.2,27.0,32.3,22.6,9.0,27.0
Admiralty,2018.0,4.0,2.0,0.2,0.2,0.2,0.2,28.1,32.5,25.5,9.7,34.6
Admiralty,2018.0,4.0,3.0,0.0,0.0,0.0,0.0,28.3,32.5,25.9,11.9,36.4
Admiralty,2018.0,4.0,4.0,0.0,0.0,0.0,0.0,28.2,32.7,25.8,12.2,33.1
Admiralty,2018.0,4.0,5.0,0.0,0.0,0.0,0.0,28.1,33.4,25.3,11.5,31.0
Admiralty,2018.0,4.0,6.0,0.0,0.0,0.0,0.0,28.1,33.3,25.2,10.1,34.6
Admiralty,2018.0,4.0,7.0,2.8,2.0,2.2,2.4,27.6,32.8,25.5,11.5,37.1
Admiralty,2018.0,4.0,8.0,0.0,0.0,0.0,0.0,27.9,31.4,26.0,14.8,38.9
Admiralty,2018.0,4.0,9.0,0.0,0.0,0.0,0.0,28.3,31.9,26.1,16.6,46.8
Admiralty,2018.0,4.0,10.0,0.0,0.0,0.0,0.0,28.5,32.9,26.0,9.7,31.7
Admiralty,2018.0,4.0,11.0,0.0,0.0,0.0,0.0,28.9,33.2,25.8,11.9,35.6
Admiralty,2018.0,4.0,12.0,0.0,0.0,0.0,0.0,29.1,33.6,26.5,10.8,32.8
Admiralty,2018.0,4.0,13.0,0.0,0.0,0.0,0.0,29.1,33.3,26.7,13.7,43.2
Admiralty,2018.0,4.0,14.0,28.6,28.2,28.6,28.6,27.4,30.9,24.3,6.5,32.0
Admiralty,2018.0,4.0,15.0,15.6,8.6,9.8,10.8,26.7,32.7,24.4,6.8,36.4
Admiralty,2018.0,4.0,16.0,2.6,1.4,1.4,2.0,26.0,30.1,24.9,6.5,30.6
Admiralty,2018.0,4.0,17.0,0.2,0.2,0.2,0.2,27.3,33.1,25.0,6.5,25.9
Admiralty,2018.0,4.0,18.0,0.0,0.0,0.0,0.0,28.5,32.5,25.7,11.9,36.4
Admiralty,2018.0,4.0,19.0,1.2,1.0,1.0,1.0,27.7,32.5,25.6,7.9,43.2
Admiralty,2018.0,4.0,20.0,27.6,24.6,27.2,27.6,27.1,32.1,24.0,8.6,33.5
Admiralty,2018.0,4.0,21.0,13.4,6.6,9.8,12.2,26.6,32.4,24.5,5.8,31.0
Admiralty,2018.0,4.0,22.0,12.0,11.6,11.6,11.6,27.4,33.8,25.0,5.8,34.2
Admiralty,2018.0,4.0,23.0,1.0,0.6,0.8,1.0,26.9,32.9,24.3,6.1,36.0
Admiralty,2018.0,4.0,24.0,0.8,0.8,0.8,0.8,28.0,31.3,25.1,6.5,22.7
Admiralty,2018.0,4.0,25.0,0.0,0.0,0.0,0.0,29.5,33.2,26.1,7.6,27.7
Admiralty,2018.0,4.0,26.0,30.0,27.6,27.8,30.0,28.6,33.9,24.0,8.3,51.8
Admiralty,2018.0,4.0,27.0,15.8,5.8,11.0,14.2,26.4,33.2,22.9,6.8,43.2
Admiralty,2018.0,4.0,28.0,54.2,45.6,53.8,54.2,27.1,34.8,22.0,6.1,56.5
Admiralty,2018.0,4.0,29.0,0.0,0.0,0.0,0.0,29.2,33.6,24.8,6.5,32.0
Admiralty,2018.0,4.0,30.0,6.4,5.6,6.4,6.4,28.3,33.5,24.5,9.0,39.6
Admiralty,2018.0,5.0,1.0,6.6,2.2,2.2,3.2,26.1,28.3,25.3,5.4,22.0
Admiralty,2018.0,5.0,2.0,0.4,0.2,0.2,0.2,27.5,34.8,24.4,5.4,59.4
Admiralty,2018.0,5.0,3.0,3.2,3.0,3.2,3.2,27.7,34.3,25.1,5.4,43.6
Admiralty,2018.0,5.0,4.0,3.0,2.0,2.2,2.2,28.4,35.1,25.5,5.4,21.2
Admiralty,2018.0,5.0,5.0,18.0,11.2,11.2,11.2,27.2,31.2,25.1,5.8,37.8
Admiralty,2018.0,5.0,6.0,0.0,0.0,0.0,0.0,28.7,33.8,25.6,6.5,29.9
Admiralty,2018.0,5.0,7.0,0.0,0.0,0.0,0.0,29.5,33.9,25.9,6.5,30.2
Admiralty,2018.0,5.0,8.0,0.0,0.0,0.0,0.0,30.1,34.1,26.8,7.6,27.4
Admiralty,2018.0,5.0,9.0,0.0,0.0,0.0,0.0,30.2,34.5,28.2,11.2,32.0
Admiralty,2018.0,5.0,10.0,0.0,0.0,0.0,0.0,29.5,33.1,27.1,8.6,42.1
Admiralty,2018.0,5.0,11.0,3.0,1.8,1.8,1.8,29.1,32.9,27.3,7.2,23.8
Admiralty,2018.0,5.0,12.0,21.0,12.8,16.0,20.8,29.1,34.2,25.3,7.9,29.2
Admiralty,2018.0,5.0,13.0,2.2,0.8,1.4,1.8,27.9,31.5,25.1,5.0,21.2
Admiralty,2018.0,5.0,14.0,0.0,0.0,0.0,0.0,28.9,33.3,26.5,5.4,24.1
Admiralty,2018.0,5.0,15.0,8.2,7.2,7.4,8.2,28.1,32.3,26.4,4.3,23.8
Admiralty,2018.0,5.0,16.0,89.4,64.8,85.6,88.8,26.7,32.8,22.7,5.4,60.5
Admiralty,2018.0,5.0,17.0,20.2,15.6,15.8,15.8,27.7,31.9,24.4,4.3,32.0
Admiralty,2018.0,5.0,18.0,43.6,24.4,34.6,41.4,27.1,32.7,23.2,6.1,25.6
Admiralty,2018.0,5.0,19.0,0.2,0.2,0.2,0.2,27.1,33.5,25.0,5.0,27.7
Admiralty,2018.0,5.0,20.0,0.8,0.8,0.8,0.8,26.7,30.1,25.1,4.7,18.7
Admiralty,2018.0,5.0,21.0,0.0,0.0,0.0,0.0,28.0,32.1,25.9,4.7,22.7
Admiralty,2018.0,5.0,22.0,0.0,0.0,0.0,0.0,28.0,33.3,26.0,5.8,28.1
Admiralty,2018.0,5.0,23.0,3.4,1.0,1.6,2.2,27.1,30.6,24.5,7.6,40.3
Admiralty,2018.0,5.0,24.0,1.0,0.4,0.6,0.8,28.2,34.4,24.0,10.1,35.3
Admiralty,2018.0,5.0,25.0,0.0,0.0,0.0,0.0,28.9,34.1,25.8,7.6,32.8
Admiralty,2018.0,5.0,26.0,13.4,10.2,11.0,11.6,27.7,32.6,24.5,6.1,25.9
Admiralty,2018.0,5.0,27.0,1.4,1.2,1.2,1.2,27.4,32.3,25.2,6.1,25.9
Admiralty,2018.0,5.0,28.0,2.2,1.2,1.8,1.8,27.5,30.0,25.4,5.8,30.2
Admiralty,2018.0,5.0,29.0,7.6,6.8,7.4,7.4,28.1,32.7,24.7,5.8,28.1
Admiralty,2018.0,5.0,30.0,0.0,0.0,0.0,0.0,27.5,32.0,25.8,5.0,21.6
Admiralty,2018.0,5.0,31.0,0.0,0.0,0.0,0.0,27.8,31.2,25.8,5.4,27.7
Admiralty,2018.0,6.0,1.0,13.8,2.6,4.6,7.4,27.5,31.0,24.4,5.4,37.1
Admiralty,2018.0,6.0,2.0,40.8,27.0,35.6,37.8,27.0,31.3,22.2,5.8,43.6
Admiralty,2018.0,6.0,3.0,0.0,0.0,0.0,0.0,28.7,32.4,26.2,5.4,24.8
Admiralty,2018.0,6.0,4.0,0.0,0.0,0.0,0.0,29.8,33.5,26.7,5.4,28.1
Admiralty,2018.0,6.0,5.0,0.0,0.0,0.0,0.0,29.8,33.9,25.1,6.5,25.2
Admiralty,2018.0,6.0,6.0,0.0,0.0,0.0,0.0,30.1,34.0,26.7,6.1,22.3
Admiralty,2018.0,6.0,7.0,0.0,0.0,0.0,0.0,30.3,34.1,28.4,6.5,26.6
Admiralty,2018.0,6.0,8.0,0.0,0.0,0.0,0.0,28.9,32.6,24.7,7.6,52.9
Admiralty,2018.0,6.0,9.0,0.0,0.0,0.0,0.0,29.5,33.0,26.5,5.4,25.2
Admiralty,2018.0,6.0,10.0,0.0,0.0,0.0,0.0,29.5,32.1,27.9,6.5,22.7
Admiralty,2018.0,6.0,11.0,0.0,0.0,0.0,0.0,30.1,33.7,28.1,7.2,31.7
Admiralty,2018.0,6.0,12.0,0.0,0.0,0.0,0.0,29.7,32.3,28.3,6.1,28.1
Admiralty,2018.0,6.0,13.0,4.2,2.4,2.4,2.4,27.9,31.3,24.8,6.1,38.5
Admiralty,2018.0,6.0,14.0,0.8,0.8,0.8,0.8,28.1,31.8,25.8,4.7,36.4
Admiralty,2018.0,6.0,15.0,0.8,0.6,0.8,0.8,26.9,28.4,23.7,5.4,42.8
Admiralty,2018.0,6.0,16.0,0.0,0.0,0.0,0.0,28.9,33.0,25.8,6.1,27.0
Admiralty,2018.0,6.0,17.0,0.0,0.0,0.0,0.0,29.7,32.9,27.6,5.8,26.6
Admiralty,2018.0,6.0,18.0,2.0,1.6,1.8,2.0,28.1,30.8,25.0,5.4,34.9
Admiralty,2018.0,6.0,19.0,3.4,2.0,2.2,3.4,27.4,30.2,23.7,7.9,61.6
Admiralty,2018.0,6.0,20.0,3.6,1.6,2.4,3.0,26.6,30.2,24.3,5.0,38.9
Admiralty,2018.0,6.0,21.0,3.4,3.0,3.0,3.0,27.1,32.4,25.1,5.8,29.9
Admiralty,2018.0,6.0,22.0,24.4,15.2,21.6,24.0,27.7,32.8,25.0,5.4,27.4
Admiralty,2018.0,6.0,23.0,3.4,1.2,1.4,1.8,26.3,29.9,24.5,6.1,26.6
Admiralty,2018.0,6.0,24.0,0.0,0.0,0.0,0.0,26.6,30.1,24.1,7.9,32.4
Admiralty,2018.0,6.0,25.0,3.0,1.4,1.4,2.6,26.7,30.4,23.4,6.5,30.2
Admiralty,2018.0,6.0,26.0,3.0,1.0,1.8,3.0,26.5,27.9,24.5,3.2,16.2
Admiralty,2018.0,6.0,27.0,46.6,28.2,34.0,41.4,25.1,26.9,22.4,5.8,33.8
Admiralty,2018.0,6.0,28.0,0.0,0.0,0.0,0.0,27.5,31.5,24.5,5.0,25.9
Admiralty,2018.0,6.0,29.0,8.6,3.8,5.0,6.2,25.7,26.8,23.2,4.3,30.2
Admiralty,2018.0,6.0,30.0,0.0,0.0,0.0,0.0,27.8,30.3,25.2,5.0,23.0
Admiralty,2018.0,7.0,1.0,35.0,17.8,22.2,24.0,25.8,27.7,21.6,5.4,46.8
Admiralty,2018.0,7.0,2.0,0.8,0.8,0.8,0.8,27.0,31.2,24.7,4.0,20.2
Admiralty,2018.0,7.0,3.0,5.2,2.4,2.8,3.6,27.3,31.0,22.7,5.8,47.2
Admiralty,2018.0,7.0,4.0,0.6,0.6,0.6,0.6,28.3,32.2,25.3,5.0,21.6
Admiralty,2018.0,7.0,5.0,0.0,0.0,0.0,0.0,28.8,32.3,26.3,6.1,30.6
Admiralty,2018.0,7.0,6.0,0.0,0.0,0.0,0.0,28.7,32.6,26.6,7.2,28.4
Admiralty,2018.0,7.0,7.0,0.0,0.0,0.0,0.0,28.5,32.1,26.0,7.2,31.0
Admiralty,2018.0,7.0,8.0,0.0,0.0,0.0,0.0,28.7,32.1,26.5,6.1,31.0
Admiralty,2018.0,7.0,9.0,1.2,1.0,1.2,1.2,28.6,32.2,25.2,5.8,29.5
Admiralty,2018.0,7.0,10.0,13.0,10.8,12.8,12.8,26.7,28.5,22.8,9.4,50.8
Admiralty,2018.0,7.0,11.0,0.0,0.0,0.0,0.0,28.1,31.5,26.3,5.0,22.0
Admiralty,2018.0,7.0,12.0,0.0,0.0,0.0,0.0,29.2,34.4,27.2,6.1,23.0
Admiralty,2018.0,7.0,13.0,0.0,0.0,0.0,0.0,29.0,31.8,26.9,7.2,25.2
Admiralty,2018.0,7.0,14.0,10.2,4.8,5.2,5.2,27.5,30.6,21.9,6.1,45.7
Admiralty,2018.0,7.0,15.0,4.2,4.0,4.0,4.0,27.5,31.2,22.6,6.1,47.9
Admiralty,2018.0,7.0,16.0,0.0,0.0,0.0,0.0,29.0,32.8,26.7,6.8,33.5
Admiralty,2018.0,7.0,17.0,0.0,0.0,0.0,0.0,28.9,31.7,26.9,7.2,25.2
Admiralty,2018.0,7.0,18.0,0.0,0.0,0.0,0.0,29.0,32.1,27.2,7.9,29.5
Admiralty,2018.0,7.0,19.0,19.0,16.4,18.2,18.8,28.3,31.7,23.7,6.8,51.5
Admiralty,2018.0,7.0,20.0,8.0,7.6,8.0,8.0,29.0,33.0,25.5,5.4,24.5
Admiralty,2018.0,7.0,21.0,12.8,12.6,12.8,12.8,28.7,32.0,24.6,5.4,35.3
Admiralty,2018.0,7.0,22.0,1.6,1.2,1.2,1.2,28.2,32.0,26.8,4.7,33.5
Admiralty,2018.0,7.0,23.0,0.0,0.0,0.0,0.0,29.4,33.7,26.2,6.8,31.7
Admiralty,2018.0,7.0,24.0,0.0,0.0,0.0,0.0,29.7,33.8,27.4,8.6,29.2
Admiralty,2018.0,7.0,25.0,0.8,0.4,0.4,0.6,27.4,30.1,24.3,7.2,32.8
Admiralty,2018.0,7.0,26.0,0.0,0.0,0.0,0.0,28.8,33.6,25.5,6.8,28.4
Admiralty,2018.0,7.0,27.0,0.0,0.0,0.0,0.0,29.3,33.4,27.0,7.2,26.3
Admiralty,2018.0,7.0,28.0,0.0,0.0,0.0,0.0,29.8,33.6,27.2,7.2,26.3
Admiralty,2018.0,7.0,29.0,0.0,0.0,0.0,0.0,29.2,32.9,27.3,6.8,35.3
Admiralty,2018.0,7.0,30.0,8.0,5.2,6.6,7.0,26.6,28.4,24.4,7.2,42.1
Admiralty,2018.0,7.0,31.0,0.0,0.0,0.0,0.0,27.8,31.7,26.3,5.4,25.2
Admiralty,2018.0,8.0,1.0,0.8,0.6,0.6,0.6,26.3,27.5,25.3,6.8,26.3
Admiralty,2018.0,8.0,2.0,0.0,0.0,0.0,0.0,28.0,32.2,25.8,6.1,27.4
Admiralty,2018.0,8.0,3.0,0.0,0.0,0.0,0.0,28.6,32.0,25.5,7.6,30.6
Admiralty,2018.0,8.0,4.0,0.4,0.4,0.4,0.4,28.0,32.7,25.1,8.3,28.4
Admiralty,2018.0,8.0,5.0,0.0,0.0,0.0,0.0,27.9,29.8,26.4,6.1,24.8
Admiralty,2018.0,8.0,6.0,0.0,0.0,0.0,0.0,28.4,31.6,26.6,6.5,36.7
Admiralty,2018.0,8.0,7.0,0.0,0.0,0.0,0.0,28.4,31.1,26.8,6.8,31.3
Admiralty,2018.0,8.0,8.0,9.8,8.4,9.0,9.6,26.5,30.1,21.5,7.2,65.9
Admiralty,2018.0,8.0,9.0,0.0,0.0,0.0,0.0,28.7,32.2,26.2,5.4,25.6
Admiralty,2018.0,8.0,10.0,0.0,0.0,0.0,0.0,29.2,32.4,26.9,6.5,29.5
Admiralty,2018.0,8.0,11.0,0.0,0.0,0.0,0.0,29.4,33.8,26.8,6.8,27.7
Admiralty,2018.0,8.0,12.0,0.0,0.0,0.0,0.0,29.5,33.6,26.7,6.1,27.0
Admiralty,2018.0,8.0,13.0,0.0,0.0,0.0,0.0,29.8,33.7,27.2,7.6,31.3
Admiralty,2018.0,8.0,14.0,0.0,0.0,0.0,0.0,29.7,33.5,27.7,7.9,30.6
Admiralty,2018.0,8.0,15.0,0.0,0.0,0.0,0.0,29.8,33.6,27.8,9.4,34.6
Admiralty,2018.0,8.0,16.0,0.0,0.0,0.0,0.0,29.4,33.0,27.1,7.2,24.5
Admiralty,2018.0,8.0,17.0,2.6,2.6,2.6,2.6,28.3,30.9,25.1,7.6,33.1
Admiralty,2018.0,8.0,18.0,2.2,2.2,2.2,2.2,28.9,32.6,25.0,7.9,33.1
Admiralty,2018.0,8.0,19.0,0.0,0.0,0.0,0.0,29.4,33.3,27.5,10.1,39.2
Admiralty,2018.0,8.0,20.0,0.0,0.0,0.0,0.0,29.4,32.6,27.3,8.6,35.3
Admiralty,2018.0,8.0,21.0,0.0,0.0,0.0,0.0,29.4,33.2,27.1,7.6,31.0
Admiralty,2018.0,8.0,22.0,27.6,16.0,18.0,20.0,26.7,29.3,23.8,5.0,30.6
Admiralty,2018.0,8.0,23.0,0.6,0.6,0.6,0.6,28.6,33.5,25.7,6.1,28.4
Admiralty,2018.0,8.0,24.0,8.8,7.4,8.4,8.8,26.7,28.8,24.1,5.0,26.3
Admiralty,2018.0,8.0,25.0,0.0,0.0,0.0,0.0,27.9,32.7,24.8,6.5,35.6
Admiralty,2018.0,8.0,26.0,0.0,0.0,0.0,0.0,29.3,33.7,26.3,6.1,26.3
Admiralty,2018.0,8.0,27.0,0.0,0.0,0.0,0.0,29.2,33.4,25.6,8.6,30.2
Admiralty,2018.0,8.0,28.0,3.8,3.4,3.6,3.8,27.5,31.0,24.1,5.8,29.9
Admiralty,2018.0,8.0,29.0,0.0,0.0,0.0,0.0,27.9,31.6,25.2,5.8,22.3
Admiralty,2018.0,8.0,30.0,0.0,0.0,0.0,0.0,28.6,32.4,25.2,6.8,29.9
Admiralty,2018.0,8.0,31.0,14.6,10.0,14.0,14.4,27.1,31.9,23.1,7.6,37.8
Admiralty,2018.0,9.0,1.0,5.0,4.0,4.4,5.0,26.9,33.2,23.8,5.4,35.3
Admiralty,2018.0,9.0,2.0,1.0,1.0,1.0,1.0,26.9,29.4,24.7,4.7,19.4
Admiralty,2018.0,9.0,3.0,0.0,0.0,0.0,0.0,27.7,31.0,24.7,5.8,36.7
Admiralty,2018.0,9.0,4.0,22.6,11.6,15.8,20.8,25.7,27.7,21.9,5.4,54.0
Admiralty,2018.0,9.0,5.0,0.0,0.0,0.0,0.0,27.2,31.5,24.3,5.0,28.8
Admiralty,2018.0,9.0,6.0,0.0,0.0,0.0,0.0,27.8,32.6,25.0,5.8,24.5
Admiralty,2018.0,9.0,7.0,7.6,1.8,2.8,4.4,26.4,30.1,24.4,4.3,30.6
Admiralty,2018.0,9.0,8.0,6.4,2.2,4.0,6.2,26.6,30.2,23.6,5.4,29.9
Admiralty,2018.0,9.0,9.0,5.4,3.4,4.6,5.2,27.5,31.0,24.9,4.7,40.0
Admiralty,2018.0,9.0,10.0,0.6,0.4,0.6,0.6,27.1,31.5,25.3,5.8,31.7
